Year,Republic of Armenia,Yerevan city,Aragatsotn Marz,Ararat  Marz,Armavir  Marz,Gegharkunik  Marz,Lori  Marz,Kotayk  Marz,Shirak  Marz,Syunik  Marz,Vayots Dzor Marz,Tavush Marz
2006,820816.7,706078.4,4512.8,11069.8,15249.7,7789.7,17598.3,23847.3,14809.2,7363.1,4369.1,8129.3
2007,934379.6,792478.2,5145,15361.8,22976.7,11797.2,19207.2,25138.2,18534.6,8739.7,4776.5,10224.5
2008,1059571.2,894902.2,6104.4,15857.7,27587.8,10943.8,21083.7,28729.2,25435.1,10046.3,6296.9,12584.1
2009,1065539.1,896198.4,7245.9,18303.9,30042.5,11983.7,21797.8,30993.2,23798.7,9110.3,3675.6,12389.1
2010,1162263.6,976756.2,7998.9,18422.2,30519.8,12954.5,23330.3,33616.9,29852.9,11115.9,4418.1,13277.9
2011,1302252.1,1091077.5,10418.6,25180.6,29942.1,12363.8,24752.4,36360.9,40514.8,12102.4,4210,15329
2012,1379500.3,1165925.8,12170.8,26187,26734.2,13654.8,23257.6,39729.6,33416.2,15361,4279.3,18784
2013,1452528.3,1218045.8,14558.3,30052.8,29429.3,18248.3,23281.5,45496.7,28591,20698.8,4635.2,19490.6
2014,1466090.6,1211176.3,17016.2,29089.6,32161.3,21571.3,22607.1,42006.7,37317.8,27404.5,4745.4,20994.4
2015,1313998.1,1004305.8,16778.8,35970.7,50198.1,21623.1,47165.6,45784.8,46525.2,15370.4,5635.5,24640.1
2016,1243637,920522.7,15014.6,38835.9,44963.3,20679,46265.8,64536.7,46605.2,15748.1,5229.6,25236.1
2017,1335742.8,989557.3,16916.2,44540.3,43468.5,22951.6,44635.8,61991.7,51500.4,19448.1,7275.9,33457
